year,cdd
2021,18.76
2022,14.78
2023,10.41
2024,11.32
2025,8.7
2026,12.76
2027,13.74
2028,12.01
2029,16.85
2030,15.28
2031,15.07
2032,9.32
2033,16.59
2034,15.91
2035,14.53
2036,11.95
2037,14.79
2038,8.98
2039,11.02
2040,11.9
2041,23.03
2042,10.97
2043,12.26
2044,11.63
2045,17.18
2046,15.78
2047,13.05
2048,13.19
2049,12.33
2050,15.17
2051,11.48
2052,12.06
2053,11.6
2054,11.98
2055,14.31
2056,11.09
2057,10.22
2058,11.07
2059,9.07
2060,14.61
2061,15.34
2062,15.45
2063,14.61
2064,12.87
2065,11.88
2066,12.13
2067,12.52
2068,13.97
2069,13.14
2070,18.14
2071,11.6
2072,11.82
2073,8.57
2074,7.71
2075,19.83
2076,12.2
2077,9.41
2078,11.77
2079,19.19
2080,15.4
2081,11.5
2082,10.58
2083,17.52
2084,10.99
2085,11.7
2086,19.49
2087,18.24
2088,18.16
2089,14.84
2090,10.46
2091,12.96
2092,16.87
2093,12.03
2094,11.83
2095,13.75
2096,15.08
2097,17.86
2098,12.14
2099,15.36
2100,11.11
