year,frost_days
2021,121.22
2022,66.61
2023,60.57
2024,84.42
2025,83.01
2026,90.05
2027,110.42
2028,104.7
2029,68.35
2030,76.22
2031,41.83
2032,78.58
2033,88.89
2034,63.42
2035,86.07
2036,99.85
2037,69.65
2038,76.55
2039,59.04
2040,89.44
2041,101.94
2042,94.2
2043,72.72
2044,101.48
2045,78.82
2046,113.79
2047,90.67
2048,94.65
2049,106.6
2050,57.31
2051,86.73
2052,82.83
2053,92.68
2054,76.5
2055,104.85
2056,75.62
2057,93.2
2058,75.65
2059,93.59
2060,96.21
2061,81.08
2062,60.07
2063,28.92
2064,56.51
2065,36.49
2066,58.5
2067,90.17
2068,99.08
2069,90.03
2070,131.97
2071,61.08
2072,65.61
2073,86.92
2074,72.53
2075,63.76
2076,107.66
2077,84.29
2078,55.56
2079,90.44
2080,83.83
2081,92.24
2082,66.39
2083,75.92
2084,102.55
2085,81.7
2086,103.87
2087,116.1
2088,54.14
2089,78.53
2090,44.91
2091,58.9
2092,72.42
2093,78.42
2094,97.53
2095,78.17
2096,65.6
2097,23.76
2098,56.72
2099,33.24
2100,42.63
