year,r20mm
2021,1.47
2022,2.33
2023,3.89
2024,2.48
2025,1.91
2026,2.01
2027,2.66
2028,2.25
2029,1.48
2030,1.98
2031,1.02
2032,2.15
2033,1.63
2034,1.65
2035,1.9
2036,2.43
2037,2.22
2038,3.75
2039,1.87
2040,2.82
2041,2.4
2042,2.33
2043,1.02
2044,0.93
2045,1.65
2046,2.77
2047,1.02
2048,1.99
2049,2.77
2050,2.86
2051,2.62
2052,2.38
2053,2.1
2054,2.36
2055,3.05
2056,3.59
2057,2.44
2058,1.41
2059,2.04
2060,2.59
2061,2.24
2062,1.16
2063,2.09
2064,1.9
2065,2.25
2066,3.68
2067,2.32
2068,1.54
2069,1.56
2070,2.54
2071,3.06
2072,2.11
2073,1.58
2074,2.27
2075,1.76
2076,2.0
2077,2.24
2078,1.47
2079,2.4
2080,2.21
2081,2.67
2082,1.8
2083,1.98
2084,2.49
2085,2.69
2086,2.35
2087,2.31
2088,1.31
2089,2.21
2090,1.3
2091,1.23
2092,1.84
2093,1.32
2094,2.08
2095,1.13
2096,2.93
2097,1.84
2098,3.25
2099,2.46
2100,1.82
