year,tnn
2021,-31.5
2022,-19.29
2023,-9.73
2024,-18.9
2025,-16.06
2026,-26.18
2027,-21.15
2028,-17.85
2029,-10.65
2030,-14.89
2031,-15.04
2032,-14.64
2033,-22.39
2034,-12.53
2035,-16.94
2036,-22.95
2037,-16.42
2038,-14.8
2039,-16.49
2040,-17.48
2041,-18.72
2042,-18.66
2043,-14.27
2044,-25.6
2045,-23.38
2046,-22.44
2047,-25.73
2048,-18.66
2049,-26.07
2050,-15.42
2051,-18.92
2052,-23.82
2053,-21.17
2054,-16.08
2055,-27.16
2056,-19.91
2057,-15.9
2058,-21.84
2059,-24.86
2060,-26.02
2061,-20.33
2062,-14.34
2063,-8.42
2064,-10.49
2065,-10.84
2066,-12.5
2067,-14.69
2068,-21.27
2069,-18.02
2070,-22.12
2071,-14.2
2072,-11.41
2073,-22.59
2074,-19.61
2075,-23.01
2076,-20.16
2077,-27.75
2078,-15.89
2079,-21.05
2080,-16.8
2081,-24.98
2082,-14.58
2083,-13.01
2084,-21.05
2085,-15.07
2086,-16.03
2087,-27.28
2088,-14.02
2089,-20.5
2090,-10.46
2091,-9.33
2092,-15.72
2093,-19.39
2094,-16.33
2095,-15.44
2096,-13.05
2097,-5.87
2098,-11.73
2099,-5.25
2100,-11.35
