year,tr15
2021,6.73
2022,13.91
2023,13.79
2024,1.45
2025,1.12
2026,12.01
2027,1.89
2028,12.05
2029,4.28
2030,9.83
2031,5.36
2032,2.67
2033,12.62
2034,7.24
2035,5.29
2036,13.48
2037,1.72
2038,9.2
2039,13.12
2040,2.2
2041,15.88
2042,10.84
2043,7.3
2044,8.16
2045,4.36
2046,4.62
2047,5.28
2048,24.49
2049,9.76
2050,10.15
2051,13.01
2052,15.11
2053,2.41
2054,4.03
2055,2.9
2056,6.37
2057,7.02
2058,4.36
2059,14.65
2060,15.82
2061,7.98
2062,15.01
2063,1.73
2064,17.1
2065,6.41
2066,9.5
2067,18.61
2068,3.82
2069,4.78
2070,11.95
2071,17.88
2072,13.55
2073,2.98
2074,10.9
2075,1.68
2076,23.84
2077,12.98
2078,9.1
2079,14.18
2080,9.5
2081,1.22
2082,7.99
2083,7.27
2084,8.47
2085,22.78
2086,11.05
2087,12.15
2088,4.26
2089,13.07
2090,8.66
2091,5.44
2092,19.49
2093,7.51
2094,3.53
2095,9.45
2096,7.55
2097,29.43
2098,6.94
2099,6.78
2100,20.18
