year,hard_frost_days
2021,35.11
2022,24.6
2023,18.1
2024,24.68
2025,29.23
2026,6.23
2027,20.55
2028,1.32
2029,3.25
2030,0.45
2031,15.86
2032,16.09
2033,15.09
2034,12.54
2035,3.53
2036,0.8
2037,8.15
2038,18.78
2039,3.64
2040,0.38
2041,19.25
2042,14.39
2043,4.02
2044,2.76
2045,14.65
2046,35.42
2047,6.28
2048,1.78
2049,6.85
2050,10.76
2051,13.26
2052,18.12
2053,18.59
2054,1.17
2055,12.41
2056,8.37
2057,2.68
2058,7.1
2059,4.21
2060,10.22
2061,8.44
2062,1.84
2063,6.68
2064,6.52
2065,7.44
2066,11.13
2067,3.59
2068,15.52
2069,9.41
2070,3.75
2071,3.34
2072,0.31
2073,2.08
2074,0.97
2075,0.01
2076,3.7
2077,0.22
2078,0.22
2079,0.23
2080,0.99
2081,2.73
2082,1.56
2083,0.22
2084,11.98
2085,0.01
2086,0.85
2087,0.16
2088,0.35
2089,3.74
2090,9.84
2091,0.09
2092,2.59
2093,5.81
2094,0.21
2095,0.02
2096,0.49
2097,8.24
2098,0.01
2099,0.53
2100,0.37
