year,prcptot
2021,702.37
2022,636.94
2023,445.74
2024,542.76
2025,536.11
2026,665.32
2027,585.17
2028,711.63
2029,481.53
2030,541.67
2031,653.5
2032,652.16
2033,699.6
2034,589.11
2035,678.85
2036,831.72
2037,763.65
2038,803.65
2039,693.13
2040,593.83
2041,552.07
2042,674.91
2043,608.59
2044,645.24
2045,687.46
2046,749.8
2047,640.57
2048,668.65
2049,729.87
2050,734.26
2051,768.29
2052,815.1
2053,777.78
2054,988.74
2055,822.49
2056,583.61
2057,494.4
2058,539.89
2059,549.44
2060,469.19
2061,616.3
2062,640.47
2063,766.52
2064,669.45
2065,673.11
2066,860.0
2067,751.92
2068,700.47
2069,729.3
2070,683.71
2071,793.25
2072,811.36
2073,800.79
2074,938.18
2075,797.15
2076,734.88
2077,797.0
2078,806.84
2079,818.46
2080,680.15
2081,836.7
2082,765.52
2083,774.53
2084,691.45
2085,763.08
2086,891.53
2087,784.12
2088,954.17
2089,750.1
2090,800.84
2091,832.27
2092,774.45
2093,762.42
2094,845.67
2095,836.25
2096,859.43
2097,884.45
2098,793.08
2099,806.34
2100,737.52
