year,txx
2021,26.94
2022,27.19
2023,31.11
2024,27.39
2025,30.41
2026,29.97
2027,29.8
2028,28.81
2029,28.46
2030,26.88
2031,28.51
2032,28.42
2033,30.32
2034,29.97
2035,30.98
2036,28.71
2037,28.73
2038,31.62
2039,30.66
2040,28.83
2041,30.74
2042,29.95
2043,30.09
2044,26.61
2045,27.66
2046,26.49
2047,32.57
2048,32.36
2049,31.33
2050,30.28
2051,30.55
2052,25.24
2053,30.82
2054,28.94
2055,29.94
2056,30.74
2057,29.32
2058,31.7
2059,28.64
2060,29.09
2061,28.99
2062,30.4
2063,27.36
2064,28.7
2065,26.63
2066,30.19
2067,27.39
2068,31.12
2069,33.87
2070,31.09
2071,31.2
2072,28.81
2073,30.81
2074,28.66
2075,30.35
2076,30.93
2077,29.35
2078,29.86
2079,29.54
2080,30.68
2081,29.88
2082,32.06
2083,29.12
2084,29.03
2085,30.63
2086,26.82
2087,30.28
2088,28.05
2089,28.62
2090,28.92
2091,29.3
2092,32.49
2093,27.22
2094,29.09
2095,30.63
2096,31.55
2097,32.3
2098,27.85
2099,27.48
2100,28.05
